ZIP,count
85015,30552
85008,28906
85051,26836
85009,26744
85041,25348
85017,23804
85035,22895
85043,21870
85021,20794
85029,18996
85033,18204
85016,18149
85040,17771
85023,17448
85032,16910
85042,16388
85022,16202
85034,14356
85019,13863
85037,13530
85031,13074
85013,12470
85006,12401
85020,12374
85027,11849
85007,11363
85339,10902
85018,10411
85014,10252
85053,9328
85004,9287
85003,8579
85044,8475
85254,5774
85353,5747
85085,5341
85308,4250
85012,4184
85050,3843
85048,3553
85024,3520
85054,3380
85028,3025
85306,1951
85086,1411
85310,1311
85304,1250
85307,1203
85083,1186
85331,1142
85045,449
85087,431
85251,264
85255,209
85253,199
85301,161
85260,103
85302,74
85281,44
85303,41
85282,37
85392,33
85323,29
85345,28
85396,26
85202,24
85383,21
85305,20
85224,17
85338,17
85257,15
85225,14
85201,13
85226,12
85283,12
85395,10
85215,9
85210,8
85204,7
85213,7
85326,6
85206,6
85382,6
85233,6
85295,5
85296,5
85209,5
85208,5
85258,5
85335,4
85234,4
85203,4
85363,4
85286,4
85381,3
85388,3
85250,3
85297,3
85248,3
85266,3
85268,2
85242,2
85340,2
85284,2
85351,2
85337,2
85374,2
85256,1
85390,1
85259,1
85249,1
85262,1
85361,1
85355,1
85239,1
85290,1
85212,1
